ID,Name,Department,Salary,Email
101,Amaan Siddiqui,IT,75000,amaan.siddiqui@company.com
102,Nishank Bathri,Marketing,65000,nishank.bathri@company.com
103,Tikesh Kardate,IOT,70000,tikesh.kardate@company.com
104,Abhay Gautam,Development,56000,abhay.gautam@company.com
105,Sonu Sharma,IT,66000,sonu.sharma@company.com
106,Harshveer Singh,Development,50000,harshveer.singh@company.com
107,Arham Khan,IT,69000,arham.khan@company.com
108,Kanchan Sahu,HR,75000,kanchan.sahu@company.com
109,Neeraj Prajapati,Development,65000,neeraj.prajapati@company.com
110,Fazila Ali,Development,59000,fazila.ali@company.com
